ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
SVH,"Statesville, NC",QMA,"Kennesaw, GA"
SVH,"Statesville, NC",TEB,"Teterboro, NJ"
SVS,"Stevens Village, AK",FAI,"Fairbanks, AK"
SVS,"Stevens Village, AK",WBQ,"Beaver, AK"
SVS,"Stevens Village, AK",KBC,"Birch Creek, AK"
SVS,"Stevens Village, AK",FAI,"Fairbanks, AK"
SVS,"Stevens Village, AK",FAI,"Fairbanks, AK"
SVS,"Stevens Village, AK",FAI,"Fairbanks, AK"
SVS,"Stevens Village, AK",FAI,"Fairbanks, AK"
SWD,"Seward, AK",HOM,"Homer, AK"
SWF,"Newburgh/Poughkeepsie, NY",PHL,"Philadelphia, PA"
SWF,"Newburgh/Poughkeepsie, NY",BDL,"Hartford, CT"
SWF,"Newburgh/Poughkeepsie, NY",MYR,"Myrtle Beach, SC"
SWF,"Newburgh/Poughkeepsie, NY",SFB,"Sanford, FL"
SWF,"Newburgh/Poughkeepsie, NY",SAV,"Savannah, GA"
SWF,"Newburgh/Poughkeepsie, NY",MYR,"Myrtle Beach, SC"
SWF,"Newburgh/Poughkeepsie, NY",SFB,"Sanford, FL"
SWF,"Newburgh/Poughkeepsie, NY",PIE,"St. Petersburg, FL"
SWF,"Newburgh/Poughkeepsie, NY",PGD,"Punta Gorda, FL"
SWF,"Newburgh/Poughkeepsie, NY",JFK,"New York, NY"
SWF,"Newburgh/Poughkeepsie, NY",HPN,"White Plains, NY"
SWF,"Newburgh/Poughkeepsie, NY",MEM,"Memphis, TN"
SWF,"Newburgh/Poughkeepsie, NY",EWR,"Newark, NJ"
SWF,"Newburgh/Poughkeepsie, NY",MEM,"Memphis, TN"
SWF,"Newburgh/Poughkeepsie, NY",LAX,"Los Angeles, CA"
SWF,"Newburgh/Poughkeepsie, NY",LAX,"Los Angeles, CA"
SWF,"Newburgh/Poughkeepsie, NY",EWR,"Newark, NJ"
SWF,"Newburgh/Poughkeepsie, NY",SDF,"Louisville, KY"
SWF,"Newburgh/Poughkeepsie, NY",SYR,"Syracuse, NY"
SWF,"Newburgh/Poughkeepsie, NY",CLE,"Cleveland, OH"
SWF,"Newburgh/Poughkeepsie, NY",CAE,"Columbia, SC"
SWF,"Newburgh/Poughkeepsie, NY",MDT,"Harrisburg, PA"
SWF,"Newburgh/Poughkeepsie, NY",PHL,"Philadelphia, PA"
SWF,"Newburgh/Poughkeepsie, NY",BDL,"Hartford, CT"
SWF,"Newburgh/Poughkeepsie, NY",SDF,"Louisville, KY"
SWF,"Newburgh/Poughkeepsie, NY",EWR,"Newark, NJ"
SWF,"Newburgh/Poughkeepsie, NY",EWR,"Newark, NJ"
SWF,"Newburgh/Poughkeepsie, NY",DEN,"Denver, CO"
SWF,"Newburgh/Poughkeepsie, NY",HYA,"Hyannis, MA"
SWF,"Newburgh/Poughkeepsie, NY",PSM,"Portsmouth, NH"
SWF,"Newburgh/Poughkeepsie, NY",CLT,"Charlotte, NC"
SWF,"Newburgh/Poughkeepsie, NY",GFL,"Glens Falls, NY"
SWO,"Stillwater, OK",DFW,"Dallas/Fort Worth, TX"
SWO,"Stillwater, OK",DFW,"Dallas/Fort Worth, TX"
SXP,"Sheldon Point, AK",EMK,"Emmonak, AK"
SXP,"Sheldon Point, AK",BET,"Bethel, AK"
SXP,"Sheldon Point, AK",AUK,"Alakanuk, AK"
SXP,"Sheldon Point, AK",EMK,"Emmonak, AK"
SXP,"Sheldon Point, AK",UNK,"Unalakleet, AK"
SXP,"Sheldon Point, AK",EMK,"Emmonak, AK"
SXP,"Sheldon Point, AK",AUK,"Alakanuk, AK"
SXP,"Sheldon Point, AK",EMK,"Emmonak, AK"
SXP,"Sheldon Point, AK",KSM,"St. Mary's, AK"
SXQ,"Soldotna, AK",HOM,"Homer, AK"
SYA,"Shemya, AK",EDF,"Anchorage, AK"
SYB,"Seal Bay, AK",KKB,"Kitoi Bay, AK"
SYB,"Seal Bay, AK",KPR,"Port Williams, AK"
SYB,"Seal Bay, AK",A43,"Kodiak Island, AK"
SYB,"Seal Bay, AK",KPR,"Port Williams, AK"
SYB,"Seal Bay, AK",A43,"Kodiak Island, AK"
SYB,"Seal Bay, AK",A43,"Kodiak Island, AK"
SYR,"Syracuse, NY",DTW,"Detroit, MI"
SYR,"Syracuse, NY",LGA,"New York, NY"
SYR,"Syracuse, NY",JFK,"New York, NY"
SYR,"Syracuse, NY",DTW,"Detroit, MI"
SYR,"Syracuse, NY",ITH,"Ithaca/Cortland, NY"
SYR,"Syracuse, NY",DTW,"Detroit, MI"
SYR,"Syracuse, NY",ORD,"Chicago, IL"
SYR,"Syracuse, NY",DEN,"Denver, CO"
SYR,"Syracuse, NY",GJT,"Grand Junction, CO"
SYR,"Syracuse, NY",CPR,"Casper, WY"
SYR,"Syracuse, NY",ORD,"Chicago, IL"
SYR,"Syracuse, NY",PHL,"Philadelphia, PA"
SYR,"Syracuse, NY",ART,"Watertown, NY"
SYR,"Syracuse, NY",BOS,"Boston, MA"
SYR,"Syracuse, NY",ALB,"Albany, NY"
SYR,"Syracuse, NY",CLT,"Charlotte, NC"
SYR,"Syracuse, NY",PHL,"Philadelphia, PA"
SYR,"Syracuse, NY",DCA,"Washington, DC"
SYR,"Syracuse, NY",JFK,"New York, NY"
SYR,"Syracuse, NY",ATL,"Atlanta, GA"
SYR,"Syracuse, NY",MYR,"Myrtle Beach, SC"
SYR,"Syracuse, NY",SFB,"Sanford, FL"
SYR,"Syracuse, NY",MYR,"Myrtle Beach, SC"
SYR,"Syracuse, NY",SFB,"Sanford, FL"
SYR,"Syracuse, NY",BNA,"Nashville, TN"
SYR,"Syracuse, NY",PIE,"St. Petersburg, FL"
SYR,"Syracuse, NY",FLL,"Fort Lauderdale, FL"
SYR,"Syracuse, NY",SRQ,"Sarasota/Bradenton, FL"
SYR,"Syracuse, NY",JFK,"New York, NY"
SYR,"Syracuse, NY",JFK,"New York, NY"
SYR,"Syracuse, NY",MCO,"Orlando, FL"
SYR,"Syracuse, NY",CLT,"Charlotte, NC"
SYR,"Syracuse, NY",CLT,"Charlotte, NC"
SYR,"Syracuse, NY",CLT,"Charlotte, NC"
SYR,"Syracuse, NY",CLT,"Charlotte, NC"
SYR,"Syracuse, NY",CVG,"Cincinnati, OH"
SYR,"Syracuse, NY",BUF,"Buffalo, NY"
SYR,"Syracuse, NY",EWR,"Newark, NJ"
SYR,"Syracuse, NY",MEM,"Memphis, TN"
SYR,"Syracuse, NY",IND,"Indianapolis, IN"
SYR,"Syracuse, NY",BTV,"Burlington, VT"
SYR,"Syracuse, NY",GSO,"Greensboro/High Point, NC"
SYR,"Syracuse, NY",ACY,"Atlantic City, NJ"
SYR,"Syracuse, NY",MCO,"Orlando, FL"
SYR,"Syracuse, NY",DEN,"Denver, CO"
SYR,"Syracuse, NY",MCO,"Orlando, FL"
SYR,"Syracuse, NY",EWR,"Newark, NJ"
SYR,"Syracuse, NY",BWI,"Baltimore, MD"
SYR,"Syracuse, NY",IAD,"Washington, DC"
SYR,"Syracuse, NY",SDF,"Louisville, KY"
SYR,"Syracuse, NY",BUF,"Buffalo, NY"
SYR,"Syracuse, NY",RFD,"Rockford, IL"
SYR,"Syracuse, NY",ROA,"Roanoke, VA"
SYR,"Syracuse, NY",PHL,"Philadelphia, PA"
SYR,"Syracuse, NY",SDF,"Louisville, KY"
SYR,"Syracuse, NY",GYY,"Gary, IN"
